author,published_at,updated_at,like_count,text,label,sentiment
@user-wl4ji6hv4u,2024-03-05T05:03:40Z,2024-03-05T05:03:40Z,0.0,all in 02,b all in 02,neutral
@mustafashaleh4150,2024-02-20T01:57:28Z,2024-02-20T01:57:28Z,3.0,href https www youtube com watch sbjsg3afx00 amp 11576 3 12 56 nilai ganjar prabowo 5 anies 11 100,b a href Prabowo s reward rating is 5 and Anies score is 11 100,positive
@IseanwarsadadAmangzian-rw9xe,2024-02-18T18:33:16Z,2024-02-18T18:33:16Z,0.0,p prabowo ganjar jadi tri tahan prabowo,b P Prabowo p Ganjar made Defense Minister p Prabowo,positive
@bobamochi2679,2024-02-18T08:22:49Z,2024-02-18T08:22:49Z,0.0,love pak anies,b Love Mr Anies,positive
@lizaherlambang1811,2024-02-13T23:22:57Z,2024-02-13T23:22:57Z,3.0,wong tahan negara kok suruh buka utk umum baca negara yg benci ingin jajah indonesia dong hadeh untung pak prabowo sabar dpt jaga rahasia tahan negara tdk pancing dgn capres yg cmn teori doang wong tahan negara kok suruh buka umum,b Wong why is national defense being told to be open to the public yes it reads as a country that hates and wants to colonize Indonesia hadeh fortunately Mr Prabowo is patient and can keep the secrets of national defense without being provoked by a presidential candidate who is just a theory Why are the national defense officials telling us to open it to the public,positive
@fasriau9246,2024-02-08T10:15:10Z,2024-02-08T10:15:10Z,0.0,harap tim narasi tv buat liput investigasi kait ada intimidasi sub agen salur gas 3 kg laku pertamina lalu agen salur dukung paslon no 2 adapun bentuk intimidasi nya mulai kurang kuota gas 3kg dengan cabut izin,b WE EXPECT THE TV NARRATIVE TEAM TO PRODUCE INVESTIGATION COVERAGE REGARDING THE INTIMIDATION TO THE 3 KG GAS DISTRIBUTION SUB AGENTS CARRIED OUT BY PERTAMINA THROUGH THE DISTRIBUTION AGENT TO SUPPORT PASLON NO 2 AS THE FORM OF INTIMIDATION STARTED FROM REDUCTION OF THE 3KG GAS QUOTA TO REVOCATION OF THE LICENSE,negative
@fikrialamri4303,2024-02-07T09:59:37Z,2024-02-07T09:59:37Z,0.0,allah roobb insya allah syafaatmuu rasulullah saw allah jadi aba anis jadi presiden indonesia aamiin allah,b Ya Allah ya Roobb God willing with your intercession ya Rasulullah SAW God make aba Anis the president of Indonesia Amen ya Allah,positive
@agussalim2705,2024-02-07T09:29:51Z,2024-02-07T09:29:51Z,0.0,jangan lupa,b Don t forget,negative
@tawakkalakbar8647,2024-02-06T18:41:31Z,2024-02-06T18:41:31Z,0.0,kapan ni mbak nana bareng pak anwar usman,b When will Miss Nana be with Mr Anwar Usman,negative
@brahmastra87,2024-02-05T15:49:24Z,2024-02-05T15:49:24Z,1.0,paslon amin gama kandidat calon kuat presiden 2024 tidak debat tiga all in prabowo,b paslon amen and gama are the strongest candidates for president in 2024 if there is no third debate All in Prabowo,positive
@nentitriani8290,2024-02-05T09:25:40Z,2024-02-05T09:25:40Z,0.0,ku si makan gratis sama internet gratis lebih penting makan grtis mba natjwa br di indonesia ada masyrakat yg punya hp tahu apa internet makan semua warga indonesia butuh makan,b In my opinion free food and free internet are more important Ms Natjwa free food Because in Indonesia there are definitely people who don t have cellphones or know what the internet is while for food all Indonesians definitely need food,positive
@netizensberotak983,2024-02-04T19:39:34Z,2024-02-04T19:39:34Z,0.0,bingung gue sama 03 tiga tiap debat rasa ken banget jatuh perintah presiden joko widodo br pikir pake logika kan yg megang kuasa penuh ibu anak dar tameng br br ngerasa diri lebih baik pak joko widodo,I m confused by 03 three In every debate I feel like I really want to overthrow the government of President Joko Widodo br I think using logic the mother is the one who has full power the child is just a shield br br Feeling that he is better than Mr Joko Widodo,positive
@asepwahyudi9621,2024-02-04T13:40:44Z,2024-02-04T13:40:44Z,0.0,3 3 3 3 3 3 3,b 3333333,neutral
@ninaberliana94ul,2024-02-03T19:57:37Z,2024-02-03T19:57:37Z,0.0,gimana nasib honor asn pppk yg gak pensiun dg gaji yg bawah rata2 khusus guru rakyat indonesia butuh sejahtera pangan yg bagus didik yg bagus aman sejahtera elit politik makin lejit rakyat makin lilit wahai kaum elit politik,b What is the fate of honorary workers ASN and PPPK who do not have pensioners with salaries that are still below average especially TEACHERS the Indonesian people need good food good education safety and prosperity the political elite is increasing we the people are increasingly entangled O political elite,positive
@yoitr2690,2024-02-03T16:27:46Z,2024-02-03T16:27:46Z,0.0,ga paslonya ga timsesnya sama sama omon omon suka wkwkwk suka omon omon doang tinggi omon omonya gamikir jalan ga selalu mulus wok wok,b No paslo doesn t have the same timing as omon omon likes it ha ha ha ha ha ha ha ha ha ha ha,positive
@endahmistery,2024-02-03T09:12:12Z,2024-02-03T09:12:12Z,0.0,pak prabowo bingung,b Pak Prabowo is confused,negative
@Free_pallestin,2024-02-02T11:50:14Z,2024-02-02T11:50:14Z,0.0,allah masih bingung saya golput tahun,b Oh my God I m still confused should I abstain this year,negative
@moehsmiley1677,2024-01-27T17:58:44Z,2024-01-27T17:58:44Z,0.0,hellooo gk salah tuh nyindir orang bilang ambisi yg gebu gebu apa kabar dgn bapak yg nyalon capres ampe 3x sampe sini yg paham,b Hellooo isn t it wrong to insinuate other people s passionate ambitions How are you with the man who ran for president three times So far does anyone understand,positive
@cb3s,2024-01-27T14:18:03Z,2024-01-27T14:18:03Z,0.0,aigu,b favorite,positive
@jongrio554,2024-01-26T16:34:18Z,2024-01-26T16:34:18Z,1.0,tidak pilih prabowo telah selamat bangsa negara,b by not voting for Prabowo you have saved this nation and country,positive
@hadran1314,2024-01-26T05:33:35Z,2024-01-26T05:33:35Z,0.0,dayum pak anies akhir aku nonton debat telah nunda minggu minggu imo pak anies awal emang sengaja lempar umpan buat pak prabowo umpan makan guna trik psikologis guess br bahkan pas sini href https www youtube com watch sbjsg3afx00 amp 6439 1 47 19 umpan lempar sama pak anies lagi makan pak prabowo potong waktu bicara pak anies 2 menit waktu sangat singkat jawab pak anies tetal beri jawab jelas komprehensif korupsi waktu,b Dayum Mr Anies I finally watched this debate after delaying for weeks IMO from the start Mr Anies deliberately threw bait for Mr Prabowo and the bait was eaten Using psychological tricks I guess br Even right here a href Mr Anies threw the pass again and again being eaten Mr Prabowo even cut Mr Anies speaking time by 2 minutes a very short time to answer but Mr Anies was still able to give a clear and comprehensive answer without time corruption,positive
@bintangardana9182,2024-01-25T16:42:33Z,2024-01-25T16:42:33Z,0.0,sejahtera tani pernah masuk bahas komisi quot duduk atas sana hanya asn harus aresiasi lalu man pangan tani bagaimana nasib,b The welfare of farmers has ever been discussed at the commission that sits up there Is it only ASN that has to be discussed and then food processors farmers what happens to them,neutral
@Juliannis17,2024-01-24T05:22:30Z,2024-01-24T05:22:30Z,1.0,biasa orang yg bilang transparan transparan justru balik,b Usually people who say I am transparent are actually the opposite,neutral
@jorifmarshavin4697,2024-01-23T14:56:10Z,2024-01-23T14:56:10Z,1.0,prediksi br pilpres 2 putar br br putar 1 br 1 02 45 br 2 01 30 br 3 03 25 br br putar 2 br 1 01 52 br 2 02 48 br br br br pola sama kaya pilgub jakarta anis menang br br pilpres menang 01 br pdi ingat basis pdip akan pilih orng di cap penghianat br br gw bukan dukung 01 gw yakin pola,b Prediction br The presidential election will be 2 rounds br br Round 1 br 1 02 45 br 2 01 30 br 3 03 25 br br Round 2 br 1 01 52 br 2 02 48 br br br br The pattern is the same as the Jakarta gubernatorial election when Anis won br br Why did the presidential election win 01 br Because of PDI remember The PDIP base will not elect people who are labeled traitors br br I m not a supporter of 01 but I believe in this pattern,positive
@alifarsy3234,2024-01-23T14:47:15Z,2024-01-23T14:47:15Z,0.0,emoticon cuma 3 angkat cuma 1 sisa 2,b There are only 3 emoticons only 1 is removed leaving 2,neutral
@evanvanquisher6496,2024-01-23T14:45:10Z,2024-01-23T14:45:57Z,0.0,konfrensi pers mau jalan keluar prabowo ganjar hormat balik prajurit br contoh calon pimpin bukti kata nya br bukan pintar kata2 praktek 0,b After the press conference was about to walk out only Prabowo and Gangar returned to the soldiers respectfully br That s an example of a prospective leader who proves his words br Not only clever with words but practice 0,neutral
