author,published_at,updated_at,like_count,text,label,sentiment
@user-wl4ji6hv4u,2024-03-05T05:03:40Z,2024-03-05T05:03:40Z,0.0,all in 02,b all in 02,neutral
@mustafashaleh4150,2024-02-20T01:57:28Z,2024-02-20T01:57:28Z,3.0,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11576"">3:12:56</a> penilaian ganjar Prabowo 5 dan anies 11/100",b a href Prabowo s reward rating is 5 and Anies score is 11 100,positive
@IseanwarsadadAmangzian-rw9xe,2024-02-18T18:33:16Z,2024-02-18T18:33:16Z,0.0,P Prabowo p Ganjar jadikan Mentri pertahanan p Prabowo,b P Prabowo p Ganjar made Defense Minister p Prabowo,positive
@bobamochi2679,2024-02-18T08:22:49Z,2024-02-18T08:22:49Z,0.0,Love Pak Anies!,b Love Mr Anies,positive
@lizaherlambang1811,2024-02-13T23:22:57Z,2024-02-13T23:22:57Z,3.0,"Wong pertahanan negara kok disuruh terbuka utk umum, ya terbaca negara yg benci dan ingin jajah Indonesia dong, hadeh....untung pak Prabowo sabar dan dpt menjaga rahasia pertahanan negara tdk terpancing dgn capres²  yg cmn teori doang. Wong pertahanan negara kok suruh buka di umum",b Wong why is national defense being told to be open to the public yes it reads as a country that hates and wants to colonize Indonesia hadeh fortunately Mr Prabowo is patient and can keep the secrets of national defense without being provoked by a presidential candidate who is just a theory Why are the national defense officials telling us to open it to the public,positive
@fasriau9246,2024-02-08T10:15:10Z,2024-02-08T10:15:10Z,0.0,KAMI BERHARAP TIM NARASI TV MEMBUAT LIPUTAN INVESTIGASI TERKAIT ADANYA INTIMIDASI KE SUB AGEN PENYALUR GAS 3 KG YANG DILAKUKAN OLEH PERTAMINA MELALUI AGEN PENYALUR UNTUK MENDUKUNG PASLON NO 2 ADAPUN BENTUK INTIMIDASI NYA MULAI DARI PENGURANGAN KUOTA GAS 3KG SAMPAI DENGAN PENCABUTAN IZIN,b WE EXPECT THE TV NARRATIVE TEAM TO PRODUCE INVESTIGATION COVERAGE REGARDING THE INTIMIDATION TO THE 3 KG GAS DISTRIBUTION SUB AGENTS CARRIED OUT BY PERTAMINA THROUGH THE DISTRIBUTION AGENT TO SUPPORT PASLON NO 2 AS THE FORM OF INTIMIDATION STARTED FROM REDUCTION OF THE 3KG GAS QUOTA TO REVOCATION OF THE LICENSE,negative
@fikrialamri4303,2024-02-07T09:59:37Z,2024-02-07T09:59:37Z,0.0,Ya Allah ya Roobb .. insya Allah dengan syafaatmuu ya Rasulullah Saw ... Allah jadikan aba Anis jadi presiden Indonesia ... Aamiin ya Allah ..,b Ya Allah ya Roobb God willing with your intercession ya Rasulullah SAW God make aba Anis the president of Indonesia Amen ya Allah,positive
@agussalim2705,2024-02-07T09:29:51Z,2024-02-07T09:29:51Z,0.0,Jangan lupa ☝,b Don t forget,negative
@tawakkalakbar8647,2024-02-06T18:41:31Z,2024-02-06T18:41:31Z,0.0,Kapan ni mbak nana bareng pak anwar usman.,b When will Miss Nana be with Mr Anwar Usman,negative
@brahmastra87,2024-02-05T15:49:24Z,2024-02-05T15:49:24Z,1.0,paslon amin dan gama kandidat calon terkuat presiden 2024 jika tidak ada debat ketiga ini. All in Prabowo ✌️,b paslon amen and gama are the strongest candidates for president in 2024 if there is no third debate All in Prabowo,positive
