author,published_at,updated_at,like_count,text
@user-wl4ji6hv4u,2024-03-05T05:03:40Z,2024-03-05T05:03:40Z,0,all in 02
@mustafashaleh4150,2024-02-20T01:57:28Z,2024-02-20T01:57:28Z,3,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11576"">3:12:56</a> penilaian ganjar Prabowo 5 dan anies 11/100"
@IseanwarsadadAmangzian-rw9xe,2024-02-18T18:33:16Z,2024-02-18T18:33:16Z,0,P Prabowo p Ganjar jadikan Mentri pertahanan p Prabowo
@bobamochi2679,2024-02-18T08:22:49Z,2024-02-18T08:22:49Z,0,Love Pak Anies!
@lizaherlambang1811,2024-02-13T23:22:57Z,2024-02-13T23:22:57Z,3,"Wong pertahanan negara kok disuruh terbuka utk umum, ya terbaca negara yg benci dan ingin jajah Indonesia dong, hadeh....untung pak Prabowo sabar dan dpt menjaga rahasia pertahanan negara tdk terpancing dgn capres²  yg cmn teori doang. Wong pertahanan negara kok suruh buka di umum"
@fasriau9246,2024-02-08T10:15:10Z,2024-02-08T10:15:10Z,0,KAMI BERHARAP TIM NARASI TV MEMBUAT LIPUTAN INVESTIGASI TERKAIT ADANYA INTIMIDASI KE SUB AGEN PENYALUR GAS 3 KG YANG DILAKUKAN OLEH PERTAMINA MELALUI AGEN PENYALUR UNTUK MENDUKUNG PASLON NO 2 ADAPUN BENTUK INTIMIDASI NYA MULAI DARI PENGURANGAN KUOTA GAS 3KG SAMPAI DENGAN PENCABUTAN IZIN
@fikrialamri4303,2024-02-07T09:59:37Z,2024-02-07T09:59:37Z,0,Ya Allah ya Roobb .. insya Allah dengan syafaatmuu ya Rasulullah Saw ... Allah jadikan aba Anis jadi presiden Indonesia ... Aamiin ya Allah ..
@agussalim2705,2024-02-07T09:29:51Z,2024-02-07T09:29:51Z,0,Jangan lupa ☝
@tawakkalakbar8647,2024-02-06T18:41:31Z,2024-02-06T18:41:31Z,0,Kapan ni mbak nana bareng pak anwar usman.
@brahmastra87,2024-02-05T15:49:24Z,2024-02-05T15:49:24Z,1,paslon amin dan gama kandidat calon terkuat presiden 2024 jika tidak ada debat ketiga ini. All in Prabowo ✌️
@nentitriani8290,2024-02-05T09:25:40Z,2024-02-05T09:25:40Z,0,"Menurut ku si makanan gratis sama internet gratis lebih penting makanan grtis mba natjwa .<br>Karena di indonesia pasti ada masyrakat yg tidak mempunyai hp atau mengetahui apa itu internet ,sedangkan makanan pasti semua warga indonesia membutuhkan makanan ."
@netizensberotak983,2024-02-04T19:39:34Z,2024-02-04T19:39:34Z,0,"bingung gue sama 03 tiga disetiap debat rasanya pengen banget menjatuhkan pemerintahan presiden Joko widodo.<br>dipikir pake logika, kan yg megang kekuasaan penuh ibunya, anak hanya sekedar tameng.<br><br>Ngerasa dirinya lebih baik dari pak Joko Widodo"
@asepwahyudi9621,2024-02-04T13:40:44Z,2024-02-04T13:40:44Z,0,3️⃣3️⃣3️⃣3️⃣3️⃣3️⃣3️⃣
@ninaberliana94ul,2024-02-03T19:57:37Z,2024-02-03T19:57:37Z,0,"Gimana nasib para honor, ASN dan PPPK yg gak ada pensiunan dg gaji yg masih dibawah rata2 khususnya GURU .. 😢 rakyat Indonesia butuh kesejahteraan pangan yg bagus, pendidikan yg bagus, aman dan sejahtera...elit politik makin melejit, kami rakyat makin terlilit. Wahai kaum elit politik"
@yoitr2690,2024-02-03T16:27:46Z,2024-02-03T16:27:46Z,0,Ga paslonya ga timsesnya sama sama omon omon sukanya wkwkwk sukanya omon omon doang ketinggian omon omonya gamikir jalan ga selalu mulus wok wok
@endahmistery,2024-02-03T09:12:12Z,2024-02-03T09:12:12Z,0,Pak prabowo bingung
@Free_pallestin,2024-02-02T11:50:14Z,2024-02-02T11:50:14Z,0,"Ya Allah saya masih bingung,apakah saya harus golput tahun ini"
@moehsmiley1677,2024-01-27T17:58:44Z,2024-01-27T17:58:44Z,0,"Hellooo, gk salah tuh nyindir orang lain bilang ambisi yg menggebu-gebu? Apa kabar dgn bapak yg nyalon capres ampe 3x? Sampe sini ada yg paham?"
@cb3s,2024-01-27T14:18:03Z,2024-01-27T14:18:03Z,0,aigu
@jongrio554,2024-01-26T16:34:18Z,2024-01-26T16:34:18Z,1,dengan tidak memilih prabowo anda telah menyelamatkan bangsa dan negara ini
@hadran1314,2024-01-26T05:33:35Z,2024-01-26T05:33:35Z,0,"Dayum Pak Anies😂. Akhirnya aku nonton debat ini setelah nunda berminggu minggu. IMO, Pak Anies dari awal emang sengaja lempar umpan buat Pak Prabowo, dan umpannya kemakan. Menggunakan trik psikologis, I guess? <br>Bahkan pas di sini <a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=6439"">1:47:19</a> umpan kembali dilempar sama Pak Anies, dan lagi-lagi dimakan. Pak Prabowo sampai memotong waktu bicara Pak Anies yang 2 menit, waktu yang sangat singkat untuk menjawab, namun Pak Anies masih tetal bisa memberikan jawaban yang jelas dan komprehensif tanpa korupsi waktu."
@bintangardana9182,2024-01-25T16:42:33Z,2024-01-25T16:42:33Z,0,"Kesejahteraan petani apakah pernah masuk dalam pembahasan di komisi&quot; yang duduk di atas sana apakah hanya ASN yang harus di aresiasi lalu pengman pangan (petani) bagaimana nasibnya,?"
@Juliannis17,2024-01-24T05:22:30Z,2024-01-24T05:22:30Z,1,Biasanya orang yg bilang saya transparan saya transparan justru sebaliknya
@jorifmarshavin4697,2024-01-23T14:56:10Z,2024-01-23T14:56:10Z,1,"Prediksi :<br>Pilpres akan 2 putaran <br><br>Putaran 1 <br>1. 02 -/+ 45% <br>2. 01 -/+ 30%<br>3. 03 -/+ 25% <br><br>Putaran 2<br>1. 01 -/+ 52% <br>2. 02 -/+ 48%<br><br>-------<br><br>Polanya Sama kaya Pilgub jakarta saat Anis menang. <br><br>Kenapa pilpres menang 01 ? <br>Karena PDI , ingat ! , Basis PDIP tidak akan memilih orng yang di cap penghianat.  <br><br>Gw bukan pendukung 01, tapi gw yakin pola ini."
@alifarsy3234,2024-01-23T14:47:15Z,2024-01-23T14:47:15Z,0,"Emoticon cuma ada 3,yang diangkat cuma 1 menyisakan 2 ❤❤❤"
@evanvanquisher6496,2024-01-23T14:45:10Z,2024-01-23T14:45:57Z,0,"Setelah konfrensi pers mau jalan ke keluar, hanya prabowo dan ganjar yang hormat balik ke prajurit,, <br>Itu contoh calon pemimpin yang membuktikan perkataan nya, <br>Bukan hanya pintar kata2, tapi praktek 0"
@evanvanquisher6496,2024-01-23T13:10:27Z,2024-01-23T13:13:22Z,0,"Ada paslon Ngomong , agar mengupayakan anggaran belanja tidak bocor menit <a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10391"">02:53:11</a>, padahal track record beliau paling banyak bocor dalam pengelolaan anggaran provinsi.. Hadeh"
@Naynayyy837,2024-01-23T07:00:35Z,2024-01-23T07:00:35Z,0,Bismillah Prabowo Gibran
